phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.1, 0.7, 0.0, 0.845, 0.910, 0.951, 0.866
1.0, 0.1, 0.0, 0.835, 0.974, 0.947, 0.964
1.0, 0.2, 0.0, 0.813, 0.949, 0.947, 0.955
0.1, 0.1, 0.0, 0.846, 0.987, 0.947, 0.964
1.0, 0.1, 0.0, 0.789, 0.962, 0.947, 0.964
1.0, 0.3, 0.0, 0.831, 0.949, 0.946, 0.946
0.3, 0.1, 0.0, 0.862, 0.962, 0.947, 0.964
1.0, 0.1, 0.0, 0.828, 0.987, 0.947, 0.964
0.1, 0.2, 0.0, 0.828, 0.987, 0.947, 0.955
1.0, 0.1, 0.0, 0.806, 0.962, 0.947, 0.964
0.1, 0.2, 0.0, 0.835, 0.974, 0.947, 0.955
1.0, 0.1, 0.0, 0.846, 0.987, 0.947, 0.964
0.1, 0.3, 0.0, 0.813, 0.949, 0.946, 0.946
1.0, 0.4, 0.0, 0.862, 0.962, 0.946, 0.938
1.0, 0.2, 0.0, 0.771, 0.949, 0.947, 0.955
1.0, 0.1, 0.0, 0.815, 0.962, 0.947, 0.964
1.0, 0.1, 0.0, 0.781, 0.962, 0.947, 0.964
1.0, 0.2, 0.0, 0.773, 0.962, 0.947, 0.955
1.0, 0.1, 0.0, 0.824, 0.962, 0.947, 0.964
1.0, 0.1, 0.0, 0.826, 0.974, 0.947, 0.964
1.0, 0.1, 0.0, 0.798, 0.962, 0.947, 0.964
1.0, 0.2, 0.0, 0.854, 0.974, 0.947, 0.955
0.1, 0.2, 0.0, 0.833, 0.962, 0.947, 0.955
1.0, 0.1, 0.0, 0.813, 0.949, 0.947, 0.964
1.0, 0.1, 0.0, 0.809, 0.974, 0.947, 0.964
1.0, 0.1, 0.0, 0.809, 0.974, 0.947, 0.964
0.0, 0.2, 0.1, 0.804, 0.949, 0.938, 0.938
1.0, 0.1, 0.0, 0.833, 0.962, 0.947, 0.964
0.1, 0.2, 0.0, 0.800, 0.974, 0.947, 0.955
0.1, 0.1, 0.0, 0.835, 0.974, 0.947, 0.964
1.0, 0.3, 0.0, 0.854, 0.974, 0.946, 0.946
1.0, 0.1, 0.0, 0.758, 0.962, 0.947, 0.964
1.0, 0.2, 0.0, 0.817, 0.974, 0.947, 0.955
0.0, 0.1, 0.1, 0.784, 0.974, 0.922, 0.946
1.0, 0.1, 0.0, 0.817, 0.974, 0.947, 0.964
1.0, 0.1, 0.0, 0.776, 0.974, 0.947, 0.964
1.0, 0.1, 0.0, 0.815, 0.962, 0.947, 0.964
1.0, 0.1, 0.0, 0.846, 0.987, 0.947, 0.964
0.1, 0.4, 0.0, 0.835, 0.974, 0.946, 0.938
0.0, 0.2, 0.1, 0.815, 0.962, 0.938, 0.938
0.1, 0.2, 0.0, 0.815, 0.962, 0.947, 0.955
0.0, 0.2, 0.9, 0.849, 0.936, 0.944, 0.902
0.1, 0.7, 0.0, 0.826, 0.910, 0.951, 0.866
0.1, 0.1, 0.4, 0.765, 0.962, 0.943, 0.884
1.0, 0.2, 0.0, 0.796, 0.949, 0.947, 0.955
0.0, 0.1, 0.5, 0.849, 0.936, 0.928, 0.920
0.1, 0.2, 0.0, 0.819, 0.987, 0.947, 0.955
0.1, 0.1, 0.0, 0.800, 0.974, 0.947, 0.964
0.0, 0.2, 0.5, 0.822, 0.949, 0.944, 0.911
1.0, 0.1, 0.0, 0.789, 0.962, 0.947, 0.964
1.0, 0.2, 0.0, 0.817, 0.974, 0.947, 0.955
1.0, 0.2, 0.0, 0.747, 0.949, 0.947, 0.955
0.3, 0.1, 0.0, 0.828, 0.987, 0.947, 0.964
1.0, 0.1, 0.0, 0.874, 0.974, 0.947, 0.964
1.0, 0.1, 0.0, 0.860, 0.949, 0.947, 0.964
0.1, 0.1, 0.0, 0.776, 0.974, 0.947, 0.964
1.0, 0.1, 0.0, 0.815, 0.962, 0.947, 0.964
1.0, 0.1, 0.0, 0.813, 0.949, 0.947, 0.964
1.0, 0.1, 0.0, 0.833, 0.962, 0.947, 0.964
0.0, 0.4, 0.1, 0.833, 0.962, 0.936, 0.920
0.3, 0.2, 0.0, 0.804, 0.949, 0.947, 0.955
1.0, 0.1, 0.0, 0.826, 0.974, 0.947, 0.964
0.0, 0.2, 0.3, 0.779, 0.949, 0.936, 0.920
1.0, 0.2, 0.0, 0.843, 0.962, 0.947, 0.955
1.0, 0.1, 0.0, 0.750, 0.962, 0.947, 0.964
1.0, 0.0, 0.0, 0.833, 0.962, 0.885, 0.964
1.0, 0.1, 0.0, 0.815, 0.962, 0.947, 0.964
1.0, 0.2, 0.0, 0.778, 0.987, 0.947, 0.955
1.0, 0.3, 0.0, 0.822, 0.949, 0.946, 0.946
0.1, 0.2, 0.0, 0.854, 0.974, 0.947, 0.955
0.1, 0.2, 0.0, 0.778, 0.987, 0.947, 0.955
1.0, 0.2, 0.0, 0.787, 0.949, 0.947, 0.955
0.0, 0.2, 0.1, 0.789, 0.962, 0.938, 0.938
1.0, 0.2, 0.0, 0.843, 0.962, 0.947, 0.955
1.0, 0.2, 0.0, 0.831, 0.949, 0.947, 0.955
1.0, 0.1, 0.0, 0.822, 0.949, 0.947, 0.964
1.0, 0.1, 0.0, 0.811, 0.987, 0.947, 0.964
1.0, 0.2, 0.0, 0.789, 0.962, 0.947, 0.955
1.0, 0.2, 0.0, 0.784, 0.974, 0.947, 0.955
